DNA sample ethnicity and id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,DNA sample ethnicity,sample id
ARM_Lchashen_MBA:DA35,0.102441,0.121864,-0.043369,-0.017119,-0.045547,-0.008367,-0.00235,-0.008769,-0.044177,-0.019499,0.012991,0.007793,-0.001933,-0.010597,-0.002986,0.003978,0.018775,-0.002407,-0.000377,0.005002,-0.000998,0.001978,-0.000739,0.00976,-0.002036,ARM_Lchashen_MBA,DA35
ARM_MBA:I1656,0.102441,0.123895,-0.032809,-0.013566,-0.044008,0.000837,0.00282,-0.005307,-0.05563,-0.020775,0.000487,0.004046,-0.014866,-0.00523,0.015608,0.006762,0.012647,-0.000253,-0.002765,0.003877,0.004243,-0.000742,0.001109,-0.00723,-0.001197,ARM_MBA,I1656
ARM_MBA:RISE423,0.104717,0.120848,-0.030547,-0.01292,-0.026159,-0.006414,0.00376,-0.007846,-0.05154,-0.016948,0.007795,-0.004046,-0.000446,0.00867,0.012215,-0.007292,-0.010952,-0.007095,0.003897,-0.004127,0.006613,0.003339,0.009737,0.005663,0.003113,ARM_MBA,RISE423
AUS_Barham_1600BP-1400BP:KP1,-0.043253,-0.227479,-0.202137,0.222871,0.131101,-0.331043,0.00235,-0.002769,-0.011453,-0.006378,-0.004709,0.007793,-0.001338,-0.000963,-0.006379,-0.002917,0.004042,0.004561,0.000377,0.002876,-0.000125,-0.004699,-0.002958,0.000843,-0.002275,AUS_Barham_1600BP-1400BP,KP1
AUS_Barham_1600BP-1400BP:KP2,-0.036423,-0.213261,-0.196103,0.220287,0.132332,-0.306222,-0.001645,0,0.000614,0.002734,-0.00341,-0.004196,-0.001784,-0.009496,-0.004207,0.001193,0.002217,0.003294,0.002137,0.008629,0.00262,0.006801,-0.011955,-0.008314,-0.005029,AUS_Barham_1600BP-1400BP,KP2
AUS_Cairns_420BP:PA86,-0.039838,-0.231541,-0.210056,0.235145,0.148335,-0.336621,-0.001645,0.007846,-0.012271,-0.006014,-0.008607,0.005095,0.002527,0.002752,-0.013708,-0.003182,0.005085,0.001014,0.000126,0.003377,0.000749,0.002226,-0.001479,0,-0.001078,AUS_Cairns_420BP,PA86
AUS_Mapoon_112BP:MH6,-0.053497,-0.239665,-0.202891,0.223194,0.134794,-0.334948,0.00893,0.000692,-0.007567,-0.007836,-0.006333,-0.012889,0.001635,-0.001514,-0.007193,0.007425,0.00352,0.003674,0.005656,0.008254,-0.00262,-0.00643,-0.003821,-0.005543,-0.005987,AUS_Mapoon_112BP,MH6
AUS_Mapoon_112BP:MH8,-0.0387,-0.22951,-0.21345,0.227716,0.13818,-0.336063,0.002585,0.003461,-0.009613,-0.006196,-0.010068,-0.001948,0.008176,0.000688,-0.0038,0.00053,-0.000913,0.004434,0.00352,0.002376,0.002745,-0.002226,0.004437,-0.003133,-0.005748,AUS_Mapoon_112BP,MH8
AUS_Weipa_112BP:WPAH4,-0.047806,-0.226463,-0.211188,0.221256,0.129255,-0.310963,0.002115,0.002308,-0.00634,-0.001458,-0.014453,0.001049,0.001041,-0.005367,0.00095,0.005171,0.008866,-0.00114,-0.00176,0.00025,-0.001373,0.016075,-0.00949,0.00241,-0.002036,AUS_Weipa_112BP,WPAH4
AUS_Willandra_Lakes_4000BP:WLH4,-0.042115,-0.224432,-0.205154,0.215442,0.145566,-0.322398,-0.007285,0.014538,-0.000818,0.003098,-0.004872,-0.002248,0.004311,-0.001239,-0.008415,-0.000796,0.004694,-0.001774,-0.01169,-0.003377,0.003369,-0.006801,-0.000863,-0.001928,-0.00946,AUS_Willandra_Lakes_4000BP,WLH4
AUT_IA_La_Tene:I11699,0.127482,0.152329,0.050534,0.005814,0.047701,0.00251,0.004465,0.011307,0.02127,0.026606,-0.002598,0.006594,-0.009366,-0.004954,0.007736,-0.009149,-0.017602,0.003421,0.005908,-0.004627,0.000998,0.002349,-0.004067,-0.005543,-0.006347,AUT_IA_La_Tene,I11699
AUT_IA_La_Tene:I11701,0.126344,0.145221,0.039598,0.000646,0.038469,0.000279,0.00188,0.006923,0.006954,0.018041,-0.003085,0.005845,-0.014717,0.004129,0.002579,-0.009679,-0.012386,0.007221,0.013575,-0.002876,0.000998,-0.004451,0.004067,-0.00253,-0.006586,AUT_IA_La_Tene,I11701
AUT_IA_La_Tene:I11708,0.134311,0.146236,0.049026,0.008075,0.043085,0.007809,0.001175,-0.000231,0.017589,0.021868,0.002273,0.007194,-0.007284,-0.008533,-0.005836,0.004508,0.019688,0.006461,0.004399,0.001626,0.003369,0.001978,-0.010599,0.004579,-0.000359,AUT_IA_La_Tene,I11708
AUT_LBK_N:I5068,0.1161,0.18178,0.012068,-0.080104,0.066166,-0.039324,-0.00846,-0.010153,0.036405,0.086744,0.01153,0.007943,-0.014717,-0.002615,-0.037187,0.009546,0.03051,-0.0019,0.009804,-0.004627,0.002995,0.012118,0.007888,-0.000964,-0.002754,AUT_LBK_N,I5068
AUT_LBK_N:I5069,0.122929,0.186857,0.011314,-0.087856,0.060934,-0.042391,-0.003995,-0.004615,0.040087,0.082917,0.008769,0.008542,-0.023042,0.007982,-0.036916,-0.01432,0.009518,-0.002914,0.018729,-0.012631,-0.008235,0.014096,-0.011092,0.000361,-0.006826,AUT_LBK_N,I5069
AUT_LBK_N:I5070,0.124067,0.18178,0.012445,-0.091086,0.062473,-0.041555,-0.00423,-0.003231,0.046427,0.085469,0.008607,0.012589,-0.022448,-0.005643,-0.033659,-0.005038,0.036508,-0.00076,0.012444,0.000125,-0.010731,0.003833,-0.010599,-0.006748,-0.008502,AUT_LBK_N,I5070
AUT_LBK_N:I5204,0.113823,0.179749,0.019233,-0.084949,0.065243,-0.037371,-0.000235,-0.001385,0.0452,0.083829,0.006658,0.007643,-0.019177,0.005092,-0.039359,-0.018695,-0.001565,0.000887,0.015335,-0.016258,-0.011854,0.012118,-0.003328,0.00012,-0.007664,AUT_LBK_N,I5204
AUT_LBK_N:I5205,0.122929,0.185842,0.013576,-0.084303,0.065858,-0.049921,-0.00564,0.001615,0.045813,0.079819,0.000325,0.007643,-0.019623,0.005643,-0.039223,-0.017634,0.01682,0.001394,0.015209,-0.007128,-0.009733,0.010263,-0.012078,-0.005543,-0.002395,AUT_LBK_N,I5205
AUT_LBK_N:I5206,0.124067,0.183811,0.017725,-0.092701,0.061242,-0.043228,0.00282,-0.008077,0.054608,0.088385,0.005521,0.017235,-0.023786,0.015827,-0.036916,-0.025457,0.003129,-0.00152,0.013198,-0.013757,-0.004866,0.007296,0.001972,-0.012652,-0.012933,AUT_LBK_N,I5206
AUT_LBK_N:I5207,0.126344,0.187873,0.021873,-0.094316,0.071398,-0.044623,0.00141,-0.002077,0.040291,0.095127,0.013153,0.008692,-0.020069,-0.004404,-0.044788,-0.015513,0.006519,0.006968,0.014958,-0.012381,-0.001872,0.009398,-0.010723,-0.013375,-0.001557,AUT_LBK_N,I5207
AUT_LBK_N:I5208,0.126344,0.183811,0.018102,-0.093024,0.060627,-0.044065,-0.000235,-0.002308,0.051131,0.086015,0.008931,0.013788,-0.020367,-0.001651,-0.037595,-0.016574,0.017341,0.006841,0.017472,-0.010505,-0.009608,0.009521,-0.008874,-0.013134,-0.004191,AUT_LBK_N,I5208
AZE_Caucasus_lowlands_LC:ALX002,0.095611,0.141159,-0.072784,-0.059755,-0.024928,-0.018686,0.01081,-0.004615,-0.024338,-0.003827,0.00341,-0.01124,0.015461,0.006744,-0.016694,0.034473,0.026859,0.005574,0.001383,-0.014507,0.009234,0.021639,0.002958,-0.015665,-0.002155,AZE_Caucasus_lowlands_LC,ALX002
AZE_Caucasus_lowlands_LN:MTT001,0.097888,0.147252,-0.060339,-0.072029,-0.023081,-0.0251,0.00517,-0.019845,-0.020043,0.004738,0.00341,0.002698,-0.008771,0,-0.014386,-0.014717,-0.002608,0.000127,0.003645,-0.002126,0.003494,0.002349,-0.003081,-0.002169,0.006227,AZE_Caucasus_lowlands_LN,MTT001
AZE_Caucasus_lowlands_LN:POT002,0.09675,0.144205,-0.076933,-0.068476,-0.0437,-0.018686,0.013631,-0.008538,-0.024952,0.000729,0,0.007343,-0.019623,0.003303,-0.002443,-0.007292,0.02034,0.004434,0.004525,-0.000125,0.008735,0.007543,-0.006902,-0.010483,-0.002395,AZE_Caucasus_lowlands_LN,POT002
Baltic_EST_BA:s19_0LS11_1,0.138864,0.116786,0.103331,0.101422,0.062781,0.039881,0.014806,0.014076,-0.001636,-0.050297,0.003085,-0.020682,0.046531,0.036883,-0.02253,0.017237,0.019036,-0.006334,0.002263,0.027888,-0.008111,-0.007172,0.013188,-0.017352,0.010538,Baltic_EST_BA,s19_0LS11_1
Baltic_EST_BA:s19_V14_2,0.142279,0.126941,0.108611,0.124033,0.055703,0.051316,0.0094,0.026999,-0.009613,-0.054489,0.003897,-0.021281,0.042666,0.037296,-0.02633,-0.001989,0.008996,0.004941,0.002263,0.008504,-0.001747,-0.000989,0.007518,-0.022413,0.004071,Baltic_EST_BA,s19_V14_2
Baltic_EST_BA:s19_V16_1,0.138864,0.119832,0.100314,0.116927,0.051394,0.043507,0.003055,0.018922,0,-0.05704,-0.002111,-0.019633,0.03776,0.043214,-0.014794,0.000265,0.015646,-0.003547,0.000377,-0.00025,-0.013351,-0.016817,0.006902,-0.016147,0.002634,Baltic_EST_BA,s19_V16_1
Baltic_EST_BA:s19_V9_2,0.135449,0.12491,0.099183,0.109175,0.047393,0.036256,0.014571,0.013846,-0.004704,-0.051937,-0.000812,-0.027426,0.039246,0.035782,-0.010043,0.018165,0.031162,-0.011149,-0.012947,0.004502,-0.001872,-0.011747,0.012202,-0.025666,0.002155,Baltic_EST_BA,s19_V9_2
Baltic_EST_BA:s19_X08_1,0.133173,0.114755,0.093903,0.111436,0.045547,0.048806,0.015981,0.01523,-0.001023,-0.049022,0.001137,-0.014987,0.034489,0.037846,-0.016694,0.002519,0.004694,-0.005194,0.000377,0.005378,0.00549,0.010758,0.006162,-0.019882,-0.007544,Baltic_EST_BA,s19_X08_1
Baltic_EST_BA:s19_X10_1,0.125205,0.105615,0.098806,0.11079,0.053856,0.032351,0.014571,0.024691,0.004909,-0.040821,-0.004384,-0.012139,0.026462,0.038121,-0.016151,0.007558,0.019818,0.001014,-0.00264,0.004252,-0.008111,-0.01014,0.011709,-0.019039,0.0097,Baltic_EST_BA,s19_X10_1
Baltic_EST_BA:s19_X11_1,0.126344,0.128972,0.093149,0.12048,0.052317,0.041834,0.014806,0.031845,0.002659,-0.047199,0.005846,-0.02263,0.033151,0.047617,-0.019137,0.003447,0.007693,-0.004941,0.007039,0.001876,-0.003743,-0.004204,0.013188,-0.008194,-0.002395,Baltic_EST_BA,s19_X11_1
Baltic_EST_BA:s19_X14_1,0.120652,0.119832,0.101445,0.112082,0.052317,0.029284,0.028671,0.009461,-0.005931,-0.049568,0.000325,-0.013188,0.032259,0.038534,-0.010179,0.00769,0.008214,0.006461,0.000503,0.001501,-0.007612,0.000124,0.013064,-0.010122,0.002754,Baltic_EST_BA,s19_X14_1
Baltic_EST_BA:s19_X15_2,0.130897,0.126941,0.095789,0.104976,0.046778,0.041834,0.026086,0.015692,-0.003068,-0.055218,-0.000974,-0.013788,0.033895,0.037158,-0.022394,-0.023336,-0.011735,0.003294,-0.008422,-0.006128,0.005241,-0.011747,0.016145,-0.011086,-0.002155,Baltic_EST_BA,s19_X15_2
Baltic_EST_BA:s19_X17_2,0.129758,0.128972,0.097674,0.105299,0.048624,0.042391,0.016451,0.033922,-0.010635,-0.050479,0.003085,-0.016635,0.033003,0.047893,-0.021987,-0.013259,0.00013,0.008615,-0.002765,-0.001251,0.008859,-0.010758,0.006409,-0.023979,0.003832,Baltic_EST_BA,s19_X17_2
Baltic_EST_IA:s19_0LS10_1,0.127482,0.089367,0.102954,0.102391,0.035083,0.03263,0.00799,0.016153,-0.007158,-0.046835,0.011205,-0.019782,0.02884,0.000275,-0.005293,0.008221,0.021513,0.000633,-0.000628,0.006128,-0.000125,0.000247,-0.00456,-0.01687,0.001916,Baltic_EST_IA,s19_0LS10_1
Baltic_EST_IA:s19_V10_2,0.126344,0.102568,0.09692,0.090763,0.04647,0.02259,0.00799,0.017076,0.020248,-0.033349,0.00747,-0.005995,0.030773,0.015827,-0.011401,0.016971,0.016559,0.002027,0.005656,0.016383,0.007237,-0.001607,-0.00419,-0.013134,-0.001317,Baltic_EST_IA,s19_V10_2
Baltic_EST_IA:s19_V11_1,0.129758,0.118817,0.087492,0.098192,0.041854,0.041276,0.009165,0.010384,-0.003681,-0.031527,0.005034,-0.020532,0.02334,0.016928,-0.004886,-0.008088,0.013299,-0.002154,0.000377,0.013882,0.008735,-0.01014,0.003081,-0.013134,-0.003113,Baltic_EST_IA,s19_V11_1
Baltic_EST_IA:s19_V12_1,0.130897,0.118817,0.09692,0.082042,0.033237,0.030399,0.014101,0.006692,0,-0.039727,0.000974,-0.002098,0.015609,0.022432,-0.006379,0.014585,0.009257,0.003674,0.001508,0.005378,0.000749,-0.003462,0.006779,-0.010242,-0.006347,Baltic_EST_IA,s19_V12_1
Baltic_EST_IA:s19_VII4_1,0.130897,0.101553,0.088623,0.090763,0.050471,0.027889,0.00141,0.013846,0.006136,-0.041003,0.007307,-0.017085,0.017691,0.002752,-0.012079,0.013126,0.00691,-0.005954,0.006536,0.014507,0.014724,-0.000742,0.010599,0.003133,-0.001078,Baltic_EST_IA,s19_VII4_1
Baltic_EST_IA:s19_X04_1,0.127482,0.107646,0.090509,0.094316,0.053856,0.038766,0.017626,0.014769,-0.003681,-0.025695,0.000487,-0.007194,0.016947,0.031103,0.005429,0.004375,-0.004694,-0.002154,0.006285,0.01088,0.005116,0.001484,0.005423,-0.020605,-0.002994,Baltic_EST_IA,s19_X04_1
Baltic_EST_MA:s19_IIa_1,0.130897,0.11577,0.09956,0.091409,0.054472,0.03765,0.004935,0.013384,0.008385,-0.034989,-0.009906,-0.011839,0.015758,0.016652,-0.001221,0.016839,0.018906,-0.010515,0.005531,0.002001,0.004742,-0.001484,0.002465,0.00494,-0.002275,Baltic_EST_MA,s19_IIa_1
Baltic_EST_MA:s19_IIf_1,0.134311,0.125926,0.076933,0.089471,0.0397,0.033467,0.023736,0.009,0.001841,-0.029158,-0.008931,-0.007343,0.010109,0.029589,-0.000407,0.003978,0.003781,-0.001014,0.002514,-0.008629,0.001123,-0.003957,0.007395,-0.00241,0.006347,Baltic_EST_MA,s19_IIf_1
